Year,Region,State,District,Lat,Lon,Rainfall_IMD_mm,Soil_Moisture_Historical,Mean_Temp_Historical,NDVI_Vegetation_Index,Soil_pH,Soil_Type,Nitrogen,Phosphorus,Potassium,Recommended_Crop,Historical_MSP_INR
2020,Central_India,Madhya Pradesh,Chachaura-Binaganj,24.25,77.0,937.1,0.25,25.0,0.74,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5825
2021,Central_India,Madhya Pradesh,Chachaura-Binaganj,24.25,77.0,1505.0,0.25,25.0,0.93,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Madhya Pradesh,Chachaura-Binaganj,24.25,77.0,1810.1,0.25,25.0,0.93,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Chachaura-Binaganj,24.25,77.0,788.6,0.25,25.0,0.69,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020
2024,Central_India,Madhya Pradesh,Chachaura-Binaganj,24.25,77.0,1295.3,0.25,25.0,0.86,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,776.8,0.25,25.0,0.68,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,1413.1,0.25,25.0,0.9,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,714.5,0.25,25.0,0.66,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,927.0,0.25,25.0,0.73,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,1285.0,0.25,25.0,0.85,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,849.4,0.25,25.0,0.71,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5825
2021,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,904.5,0.25,25.0,0.73,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,1116.1,0.25,25.0,0.8,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,928.0,0.25,25.0,0.73,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020
2024,Central_India,Madhya Pradesh,Chhatarpur,25.0,79.5,1111.8,0.25,25.0,0.8,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,1247.2,0.25,25.0,0.84,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,1351.9,0.25,25.0,0.88,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,856.9,0.25,25.0,0.71,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,929.8,0.25,25.0,0.73,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,1697.7,0.25,25.0,0.93,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,1683.3,0.25,25.0,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,1269.2,0.25,25.0,0.85,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,1757.3,0.25,25.0,0.93,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,1180.5,0.25,25.0,0.82,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Chhindwara,22.0,79.0,1426.2,0.25,25.0,0.9,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Damoh,22.0,80.75,1034.7,0.25,25.0,0.77,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Madhya Pradesh,Damoh,22.0,80.75,999.0,0.25,25.0,0.76,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Madhya Pradesh,Damoh,22.0,80.75,1088.6,0.25,25.0,0.79,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2018,Central_India,Madhya Pradesh,Damoh,22.0,80.75,989.3,0.25,25.0,0.75,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Damoh,22.0,80.75,1297.8,0.25,25.0,0.86,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Damoh,22.0,80.75,1608.1,0.25,25.0,0.93,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Madhya Pradesh,Damoh,22.0,80.75,1250.7,0.25,25.0,0.84,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Madhya Pradesh,Damoh,22.0,80.75,1375.3,0.25,25.0,0.88,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Damoh,22.0,80.75,1154.8,0.25,25.0,0.81,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Damoh,22.0,80.75,1320.6,0.25,25.0,0.87,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Datia,25.75,78.5,619.9,0.25,25.0,0.63,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Madhya Pradesh,Datia,25.75,78.5,532.1,0.25,25.0,0.6,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0
2017,Central_India,Madhya Pradesh,Datia,25.75,78.5,463.3,0.25,25.0,0.58,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0
2018,Central_India,Madhya Pradesh,Datia,25.75,78.5,920.2,0.25,25.0,0.73,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Datia,25.75,78.5,762.3,0.25,25.0,0.68,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5550
2020,Central_India,Madhya Pradesh,Datia,25.75,78.5,487.7,0.25,25.0,0.59,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Watermelon,0
2021,Central_India,Madhya Pradesh,Datia,25.75,78.5,797.4,0.25,25.0,0.69,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Datia,25.75,78.5,801.4,0.25,25.0,0.69,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6380
2023,Central_India,Madhya Pradesh,Datia,25.75,78.5,787.8,0.25,25.0,0.69,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020
2024,Central_India,Madhya Pradesh,Datia,25.75,78.5,906.0,0.25,25.0,0.73,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7521
2015,Central_India,Madhya Pradesh,Dewas,23.0,76.0,1134.2,0.25,25.0,0.8,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Madhya Pradesh,Dewas,23.0,76.0,1007.5,0.25,25.0,0.76,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Madhya Pradesh,Dewas,23.0,76.0,635.2,0.25,25.0,0.64,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Dewas,23.0,76.0,694.1,0.25,25.0,0.66,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Dewas,23.0,76.0,1601.2,0.25,25.0,0.93,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Dewas,23.0,76.0,1313.9,0.25,25.0,0.86,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Madhya Pradesh,Dewas,23.0,76.0,1021.5,0.25,25.0,0.77,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Dewas,23.0,76.0,1607.8,0.25,25.0,0.93,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Dewas,23.0,76.0,1176.5,0.25,25.0,0.82,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Dewas,23.0,76.0,1038.9,0.25,25.0,0.77,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Dhar,22.5,75.25,951.6,0.25,25.0,0.74,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Madhya Pradesh,Dhar,22.5,75.25,995.8,0.25,25.0,0.76,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Madhya Pradesh,Dhar,22.5,75.25,929.1,0.25,25.0,0.73,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Dhar,22.5,75.25,797.2,0.25,25.0,0.69,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Dhar,22.5,75.25,1019.2,0.25,25.0,0.76,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5550
2020,Central_India,Madhya Pradesh,Dhar,22.5,75.25,898.6,0.25,25.0,0.72,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5825
2021,Central_India,Madhya Pradesh,Dhar,22.5,75.25,703.1,0.25,25.0,0.66,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Dhar,22.5,75.25,824.7,0.25,25.0,0.7,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6380
2023,Central_India,Madhya Pradesh,Dhar,22.5,75.25,1019.6,0.25,25.0,0.76,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020
2024,Central_India,Madhya Pradesh,Dhar,22.5,75.25,1010.5,0.25,25.0,0.76,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7521
2015,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1283.6,0.25,25.0,0.85,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1246.7,0.25,25.0,0.84,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1063.7,0.25,25.0,0.78,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2018,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1116.0,0.25,25.0,0.8,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1658.5,0.25,25.0,0.93,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1616.7,0.25,25.0,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1650.7,0.25,25.0,0.93,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1666.0,0.25,25.0,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1288.1,0.25,25.0,0.85,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Dindori,23.0,81.0,1267.9,0.25,25.0,0.85,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Guna,24.75,77.25,998.7,0.25,25.0,0.76,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Madhya Pradesh,Guna,24.75,77.25,1243.7,0.25,25.0,0.84,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Guna,24.75,77.25,710.7,0.25,25.0,0.66,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Guna,24.75,77.25,1154.4,0.25,25.0,0.81,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2019,Central_India,Madhya Pradesh,Guna,24.75,77.25,1355.0,0.25,25.0,0.88,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Guna,24.75,77.25,962.5,0.25,25.0,0.75,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5825
2021,Central_India,Madhya Pradesh,Guna,24.75,77.25,1563.1,0.25,25.0,0.93,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Madhya Pradesh,Guna,24.75,77.25,1359.6,0.25,25.0,0.88,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Guna,24.75,77.25,795.4,0.25,25.0,0.69,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020
2024,Central_India,Madhya Pradesh,Guna,24.75,77.25,1296.0,0.25,25.0,0.86,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,778.6,0.25,25.0,0.68,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,612.7,0.25,25.0,0.63,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,565.0,0.25,25.0,0.61,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,896.8,0.25,25.0,0.72,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,876.5,0.25,25.0,0.72,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5550
2020,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,661.1,0.25,25.0,0.65,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5825
2021,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,987.5,0.25,25.0,0.75,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,850.6,0.25,25.0,0.71,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6380
2023,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,767.5,0.25,25.0,0.68,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020
2024,Central_India,Madhya Pradesh,Gwalior,26.25,78.25,1323.2,0.25,25.0,0.87,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Harda,22.25,77.0,1197.3,0.25,25.0,0.82,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Madhya Pradesh,Harda,22.25,77.0,1038.2,0.25,25.0,0.77,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Harda,22.25,77.0,764.5,0.25,25.0,0.68,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Harda,22.25,77.0,663.0,0.25,25.0,0.65,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Harda,22.25,77.0,1600.8,0.25,25.0,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Harda,22.25,77.0,1225.3,0.25,25.0,0.83,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Madhya Pradesh,Harda,22.25,77.0,1020.6,0.25,25.0,0.77,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Harda,22.25,77.0,1470.2,0.25,25.0,0.92,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Harda,22.25,77.0,1266.7,0.25,25.0,0.85,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Harda,22.25,77.0,1284.9,0.25,25.0,0.85,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1240.9,0.25,25.0,0.84,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1738.9,0.25,25.0,0.93,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1134.6,0.25,25.0,0.8,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2018,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,866.7,0.25,25.0,0.71,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1671.8,0.25,25.0,0.93,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1567.8,0.25,25.0,0.93,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1209.5,0.25,25.0,0.83,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2022,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1868.9,0.25,25.0,0.93,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Jute,4750
2023,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1297.0,0.25,25.0,0.86,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Hoshangabad,22.75,77.5,1325.1,0.25,25.0,0.87,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Indore,22.75,75.75,1228.5,0.25,25.0,0.83,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Madhya Pradesh,Indore,22.75,75.75,833.6,0.25,25.0,0.7,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Madhya Pradesh,Indore,22.75,75.75,762.3,0.25,25.0,0.68,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Indore,22.75,75.75,771.3,0.25,25.0,0.68,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Indore,22.75,75.75,1435.5,0.25,25.0,0.9,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Indore,22.75,75.75,1155.1,0.25,25.0,0.81,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Madhya Pradesh,Indore,22.75,75.75,965.0,0.25,25.0,0.75,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Indore,22.75,75.75,1032.7,0.25,25.0,0.77,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Indore,22.75,75.75,1299.5,0.25,25.0,0.86,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Indore,22.75,75.75,944.2,0.25,25.0,0.74,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7521
2015,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,995.8,0.25,25.0,0.76,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,1331.9,0.25,25.0,0.87,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,775.4,0.25,25.0,0.68,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,952.1,0.25,25.0,0.74,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,1513.5,0.25,25.0,0.93,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,1137.2,0.25,25.0,0.8,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2021,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,888.2,0.25,25.0,0.72,7.6,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,1342.9,0.25,25.0,0.87,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2023,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,1274.1,0.25,25.0,0.85,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Jabalpur,23.25,80.0,1249.1,0.25,25.0,0.84,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,678.5,0.25,25.0,0.65,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,1004.9,0.25,25.0,0.76,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4160
2017,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,716.9,0.25,25.0,0.66,7.9,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,627.6,0.25,25.0,0.63,7.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,1393.3,0.25,25.0,0.89,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2020,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,1019.2,0.25,25.0,0.76,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5825
2021,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,806.9,0.25,25.0,0.69,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,773.1,0.25,25.0,0.68,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6380
2023,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,1265.3,0.25,25.0,0.85,7.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Jhabua,22.75,74.5,1202.1,0.25,25.0,0.83,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Katni,23.75,80.5,1005.0,0.25,25.0,0.76,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4100
2016,Central_India,Madhya Pradesh,Katni,23.75,80.5,1705.3,0.25,25.0,0.93,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Katni,23.75,80.5,700.4,0.25,25.0,0.66,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Katni,23.75,80.5,688.8,0.25,25.0,0.65,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Katni,23.75,80.5,916.7,0.25,25.0,0.73,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5550
2020,Central_India,Madhya Pradesh,Katni,23.75,80.5,782.4,0.25,25.0,0.69,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5825
2021,Central_India,Madhya Pradesh,Katni,23.75,80.5,754.1,0.25,25.0,0.68,7.8,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Katni,23.75,80.5,950.6,0.25,25.0,0.74,8.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6380
2023,Central_India,Madhya Pradesh,Katni,23.75,80.5,1054.3,0.25,25.0,0.78,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2024,Central_India,Madhya Pradesh,Katni,23.75,80.5,1100.1,0.25,25.0,0.79,7.5,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2015,Central_India,Madhya Pradesh,Maihar,24.25,80.75,1121.6,0.25,25.0,0.8,8.0,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2016,Central_India,Madhya Pradesh,Maihar,24.25,80.75,1693.5,0.25,25.0,0.93,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Coffee,0
2017,Central_India,Madhya Pradesh,Maihar,24.25,80.75,690.8,0.25,25.0,0.66,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,4320
2018,Central_India,Madhya Pradesh,Maihar,24.25,80.75,634.0,0.25,25.0,0.64,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5450
2019,Central_India,Madhya Pradesh,Maihar,24.25,80.75,838.0,0.25,25.0,0.7,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5550
2020,Central_India,Madhya Pradesh,Maihar,24.25,80.75,766.4,0.25,25.0,0.68,7.7,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,5825
2021,Central_India,Madhya Pradesh,Maihar,24.25,80.75,750.9,0.25,25.0,0.68,7.3,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6025
2022,Central_India,Madhya Pradesh,Maihar,24.25,80.75,850.6,0.25,25.0,0.71,7.1,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,6380
2023,Central_India,Madhya Pradesh,Maihar,24.25,80.75,802.6,0.25,25.0,0.69,7.4,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7020
2024,Central_India,Madhya Pradesh,Maihar,24.25,80.75,1011.2,0.25,25.0,0.76,8.2,Black & Mixed / Vertisols,Medium,Medium,High,Cotton,7521
